Author	n (strains)	publication title	journal	publication URL	strains
Yvan Butera et al	27	unknown	unknown	unknown	hCoV-19/Rwanda/NRLNAT4052/2021,hCoV-19/Rwanda/NRLNAT4050/2021,hCoV-19/Rwanda/NRLNAT4051/2021,hCoV-19/Rwanda/NRLNAT4066/2021,hCoV-19/Rwanda/NRLNAT4068/2021,hCoV-19/Rwanda/NRLNAT4037/2021,hCoV-19/Rwanda/NRLNAT4038/2021,hCoV-19/Rwanda/NRLNAT4113/2021,hCoV-19/Rwanda/NRLNAT4152/2021,hCoV-19/Rwanda/NRLNAT4153/2021,hCoV-19/Rwanda/NRLNAT4057/2021,hCoV-19/Rwanda/NRLNAT4039/2021,hCoV-19/Rwanda/NRLNAT1072/2020,hCoV-19/Rwanda/NRLNAT4055/2021,hCoV-19/Rwanda/NRLNAT4154/2021,hCoV-19/Rwanda/NRLNAT4074/2021,hCoV-19/Rwanda/NRLNAT4082/2021,hCoV-19/Rwanda/NRLNAT4190/2021,hCoV-19/Rwanda/NRLNAT4202/2021,hCoV-19/Rwanda/NRLNAT4199/2021,hCoV-19/Rwanda/NRLNAT4165/2021,hCoV-19/Rwanda/NRLNAT4111/2021,hCoV-19/Rwanda/NRLNAT4155/2021,hCoV-19/Rwanda/NRLNAT4164/2021,hCoV-19/Rwanda/NRLNAT4080/2021,hCoV-19/Rwanda/NRLNAT4056/2021,hCoV-19/Rwanda/NRLNAT4060/2021
Beard et al	1	unknown	unknown	unknown	hCoV-19/Australia/VPRL014/2020
Teemu Smura et al B	1	A doubt of multiple introduction of SARS-CoV-2 in Italy: A preliminary overview	unknown	https://dx.doi.org/10.1002/jmv.25773	hCoV-19/Finland/FIN-25/2020
Kassela K. et al	1	Dominant and rare SARS-Cov2 variants responsible for the COVID-19 pandemic in Athens, Greece.	unknown	https://dx.doi.org/10.1101/2020.06.03.20121236	hCoV-19/Greece/33_36910/2020
Alen Suljič et al	12	unknown	unknown	unknown	hCoV-19/Slovenia/4709/2020,hCoV-19/Slovenia/7994/2020,hCoV-19/Slovenia/6320/2020,hCoV-19/Slovenia/68334/2020,hCoV-19/Slovenia/296666/2021,hCoV-19/Slovenia/105237/2020,hCoV-19/Slovenia/200842/2021,hCoV-19/Slovenia/256058/2021,hCoV-19/Slovenia/274805/2021,hCoV-19/Slovenia/201595/2021,hCoV-19/Slovenia/244340/2021,hCoV-19/Slovenia/225336/2021
Bas Oude Munnink et al	6	unknown	unknown	unknown	hCoV-19/Netherlands/NA_568/2020,hCoV-19/Suriname/SR-16/2020,hCoV-19/Suriname/SR-05/2020,hCoV-19/Suriname/SR-49/2020,hCoV-19/Netherlands/ZH-EMC-594/2020,hCoV-19/Netherlands/ZH-EMC-2560/2021
Borges et al	15	unknown	unknown	unknown	hCoV-19/Portugal/PT1149/2020,hCoV-19/Portugal/PT10018/2021,hCoV-19/Portugal/PT13321/2021,hCoV-19/Portugal/PT12697/2021,hCoV-19/Portugal/PT9584/2021,hCoV-19/Portugal/PT13272/2021,hCoV-19/Portugal/PT12409/2021,hCoV-19/Portugal/PT1739/2020,hCoV-19/Portugal/PT1637/2020,hCoV-19/Portugal/PT7596/2021,hCoV-19/Portugal/PT8474/2021,hCoV-19/Portugal/PT6498/2021,hCoV-19/Portugal/PT8283/2021,hCoV-19/Portugal/PT7460/2021,hCoV-19/Portugal/PT7071/2021
Craig S. Richmond et al	2	Interregional SARS-CoV-2 spread from a single introduction outbreak in a meat-packing plant in northeast Iowa	unknown	https://www.medrxiv.org/content/10.1101/2020.06.08.20125534v1	hCoV-19/USA/WI-GMF-02381/2020,hCoV-19/USA/WI-GMF-01455/2020
Ji-Rong Yang et al B	3	unknown	unknown	unknown	hCoV-19/Taiwan/144/2020,hCoV-19/Taiwan/11103/2021,hCoV-19/Taiwan/14222/2021
BRC: Fatiha M. Benslimane et al	14	unknown	unknown	unknown	hCoV-19/Qatar/QA-QU_02-2-30/2020,hCoV-19/Qatar/QA-QU_12-11-F3/2020,hCoV-19/Qatar/QA-QU_12-11-F6/2020,hCoV-19/Qatar/QA-QU_12-10-C8/2020,hCoV-19/Qatar/QA-QU_12-10-E3/2020,hCoV-19/Qatar/QA-QU_18-6-D9/2021,hCoV-19/Qatar/QA.QU_19.1.E9/2021,hCoV-19/Qatar/QA.QU_19.3.F10/2021,hCoV-19/Qatar/QA.QU_19.3.H9/2021,hCoV-19/Qatar/QA.QU_18.15.F3/2021,hCoV-19/Qatar/QA.QU_18.19.A10/2021,hCoV-19/Qatar/QA.QU_18.19.D8/2021,hCoV-19/Qatar/QA.QU_18.17.F10/2021,hCoV-19/Qatar/QA-QU_04-B5/2020
Victor M Corman et al	25	unknown	unknown	unknown	hCoV-19/BosniaandHerzegovina/ChVir7357/2020,hCoV-19/Montenegro/ChVir-1265622002/2020,hCoV-19/Germany/BE-ChVir-W1303-8106/2020,hCoV-19/BosniaandHerzegovina/ChVir7387/2020,hCoV-19/Kosovo/ChVir23105/2021,hCoV-19/Albania/un-ChVir25862_03/2021,hCoV-19/Kosovo/ChVir25780_24/2021,hCoV-19/Albania/un-ChVir25862_15/2021,hCoV-19/Albania/un-ChVir25862_04/2021,hCoV-19/Moldova/un-ChVir25843/2021,hCoV-19/Moldova/un-ChVir25845/2021,hCoV-19/Moldova/un-ChVir25847/2021,hCoV-19/Moldova/un-ChVir25848/2021,hCoV-19/Albania/un-ChVir25862_12/2021,hCoV-19/Albania/un-ChVir25862_23/2021,hCoV-19/NorthMacedonia/ChVir7909/2020,hCoV-19/Moldova/un-ChVir25732/2021,hCoV-19/Kosovo/ChVir25780_14/2021,hCoV-19/Moldova/un-ChVir25715/2021,hCoV-19/Kosovo/ChVir25780_30/2021,hCoV-19/Kosovo/ChVir25780_9/2021,hCoV-19/Kosovo/ChVir25780_26/2021,hCoV-19/Moldova/un-ChVir25728/2021,hCoV-19/Kosovo/ChVir25780_19/2021,hCoV-19/Kosovo/ChVir25780_27/2021
Derly Andrade et al	1	unknown	unknown	unknown	hCoV-19/Ecuador/USFQ-128/2020
Benoit et al	1	unknown	unknown	unknown	hCoV-19/Canada/UN-CRCHUM-PostFreeze-9/2020
Belén Prado-Vivar et al	9	unknown	unknown	unknown	hCoV-19/Ecuador/USFQ-539/2020,hCoV-19/Ecuador/USFQ-1080/2021,hCoV-19/Ecuador/USFQ-1350/2021,hCoV-19/Ecuador/USFQ-195/2020,hCoV-19/Ecuador/USFQ-1044/2021,hCoV-19/Ecuador/USFQ-585/2021,hCoV-19/Ecuador/USFQ-109/2020,hCoV-19/Ecuador/USFQ-571/2020,hCoV-19/Ecuador/USFQ-1135/2021
Dr. Milza Abdul Muhsin et al	7	unknown	unknown	unknown	hCoV-19/Maldives/MAV0749/2020,hCoV-19/Maldives/MAV02905/2020,hCoV-19/Maldives/MAV3550/2020,hCoV-19/Maldives/MAV32203/2021,hCoV-19/Maldives/MAV29502/2021,hCoV-19/Maldives/MAV27512/2021,hCoV-19/Maldives/MAV36627/2021
Rosenthal et al	3	unknown	unknown	unknown	hCoV-19/USA/FL-QDX-278/2020,hCoV-19/USA/AL-QDX-245/2020,hCoV-19/USA/NV-QDX-3558/2020
Rabeh El-Shesheny et al	4	unknown	unknown	unknown	hCoV-19/Egypt/NRC-6823/2020,hCoV-19/Egypt/NRC-6985/2020,hCoV-19/Egypt/NRC-6161/2020,hCoV-19/Egypt/NRC-6218/2020
Virginia DCLS et al	4	unknown	unknown	unknown	hCoV-19/USA/VA-DCLS-0076/2020,hCoV-19/USA/VA-DCLS-0773/2020,hCoV-19/USA/VA-DCLS-5236/2021,hCoV-19/USA/VA-DCLS-1560/2020
Gordon P et al	2	unknown	unknown	unknown	hCoV-19/Canada/AB-37518/2020,hCoV-19/Canada/AB-28355/2020
Aladje Balde et al	1	unknown	unknown	unknown	hCoV-19/GuineaBissau/51LNSPGB/2020
Grayo Solene et al	5	unknown	unknown	unknown	hCoV-19/Guinea/Conakry_IPG17370/2021,hCoV-19/Guinea/Conakry_IPG8397/2020,hCoV-19/Guinea/Conakry_IPG004/2020,hCoV-19/Guinea/Conakry_IPG2928/2020,hCoV-19/Guinea/Conakry_IPG012/2020
Antoine Dara et al	2	unknown	unknown	unknown	hCoV-19/Mali/CICM9708/2021,hCoV-19/Mali/M00960/2020
Abdoul-Salam Ouedraogo et al	2	unknown	unknown	unknown	hCoV-19/BurkinaFaso/0777/2020,hCoV-19/BurkinaFaso/1124/2020
Ramzi Fattouh et al	1	unknown	unknown	unknown	hCoV-19/Canada/ON-UHTC-0219/2020
Olawoye et al	5	unknown	unknown	unknown	hCoV-19/Somalia/CV1238/2020,hCoV-19/Nigeria/CV1441/2021,hCoV-19/Nigeria/CV1618/2021,hCoV-19/Nigeria/CV717/2020,hCoV-19/Somalia/CV1232/2020
Molalegne Bitew et al	2	unknown	unknown	unknown	hCoV-19/Ethiopia/ICGEB-S15/2021,hCoV-19/Ethiopia/ICGEB-S4/2021
AlWasti et al	5	unknown	unknown	unknown	hCoV-19/Bahrain/023285711_S13_L001/2020,hCoV-19/Bahrain/340286642_S20_L001/2020,hCoV-19/Bahrain/340564387_S8_L001/2020,hCoV-19/Bahrain/920319237_S17_L001/2020,hCoV-19/Bahrain/090000572_S16_L001/2020
Neta Zuckerman et al	10	unknown	unknown	unknown	hCoV-19/Israel/n14270/2020,hCoV-19/Israel/CVL-n896/2020,hCoV-19/Israel/CVL-13493/2021,hCoV-19/Israel/CVL-9356/2021,hCoV-19/Israel/CVL-12762/2021,hCoV-19/Israel/CVL-10610/2021,hCoV-19/Israel/CVL-11483/2021,hCoV-19/Israel/CVL-13268/2021,hCoV-19/Israel/CVL-933ngs/2020,hCoV-19/Israel/CVL-13709/2021
Vidanovic et al	5	unknown	unknown	unknown	hCoV-19/Serbia/CA3002-04/2020,hCoV-19/Serbia/Pancevo-007910104/2020,hCoV-19/Serbia/ZJZKV00030607/2021,hCoV-19/Serbia/ZJZKV0002-29-06/2021,hCoV-19/Serbia/Lipljan-005360911/2020
Kayed et al	1	unknown	unknown	unknown	hCoV-19/Egypt/CPHL-NRC-23/2020
Ivars Silamiķelis et al	3	unknown	unknown	unknown	hCoV-19/Latvia/074/2020,hCoV-19/Latvia/026/2020,hCoV-19/Latvia/042/2020
Trung Huynh et al	2	unknown	unknown	unknown	hCoV-19/USA/AZ-ASPHL-714/2020,hCoV-19/USA/AZ-ASPHL-4185/2021
Katherine Laiton-Donato et al	29	unknown	unknown	unknown	hCoV-19/Colombia/ATL-INS-01/2020,hCoV-19/Colombia/ANT-INS-103573/2020,hCoV-19/Colombia/BOL-INS-94411/2020,hCoV-19/Colombia/LAG-INS-VG-1401/2021,hCoV-19/Colombia/COR-INS-VG-4750/2021,hCoV-19/Colombia/MAG-INS-VG-4752/2021,hCoV-19/Colombia/DC-INS-VG-2118/2021,hCoV-19/Colombia/SAP-INS-VG-2972/2021,hCoV-19/Colombia/VAC-INS-VG-4600/2021,hCoV-19/Colombia/CUN-INS-VG-4774/2021,hCoV-19/Colombia/COR-INS-VG-3496/2021,hCoV-19/Colombia/MAG-INS-VG-3067/2021,hCoV-19/Colombia/CHO-INS-VG-3303/2021,hCoV-19/Colombia/CHO-INS-VG-3273/2021,hCoV-19/Colombia/CAS-INS-VG-4744/2021,hCoV-19/Colombia/CAS-INS-VG-4741/2021,hCoV-19/Colombia/SAN-INS-VG-2724/2021,hCoV-19/Colombia/CAS-INS-VG-4736/2021,hCoV-19/Colombia/CES-INS-VG-4666/2021,hCoV-19/Colombia/VAC-INS-VG-4601/2021,hCoV-19/Colombia/DC-INS-3334/2020,hCoV-19/Colombia/MET-INS-VG-4698/2021,hCoV-19/Colombia/VAC-COV-VG-4120/2021,hCoV-19/Colombia/CUN-INS-VG-4772/2021,hCoV-19/Colombia/QUI-INS-VG-4782/2021,hCoV-19/Colombia/HUI-INS-VG-2894/2021,hCoV-19/Colombia/CAQ-INS-VG-4008/2021,hCoV-19/Colombia/SAN-COV-VG-3949/2021,hCoV-19/Colombia/BOY-INS-VG-4012/2021
Juan-Manuel Anaya et al	3	unknown	unknown	unknown	hCoV-19/Colombia/DC-C3/2020,hCoV-19/Colombia/DC-C107/2020,hCoV-19/Colombia/DC-C43/2020
Logan Voegtly et al	1	unknown	unknown	unknown	hCoV-19/USA/SC_NIDDL_14572/2020
Alberto Paniz-Mondolfi et al	1	unknown	unknown	unknown	hCoV-19/Venezuela/VEN-95072/2020
Nathalia Ballesteros et al	1	unknown	unknown	unknown	hCoV-19/Colombia/AMA-GUR-06749/2020
Nikita S. D. Sahadeo et al	50	unknown	unknown	unknown	hCoV-19/Guyana/50822/2020,hCoV-19/TrinidadandTobago/37679/2020,hCoV-19/TrinidadandTobago/0876/2020,hCoV-19/TrinidadandTobago/39213/2020,hCoV-19/TrinidadandTobago/TT4707/2020,hCoV-19/TrinidadandTobago/TT44048/2020,hCoV-19/Guyana/50832/2021,hCoV-19/SaintVincentandtheGrenadines/53567/2021,hCoV-19/SaintVincentandtheGrenadines/71769/2021,hCoV-19/Guyana/50817/2020,hCoV-19/Barbados/76426/2021,hCoV-19/Barbados/67697/2021,hCoV-19/Guyana/50825/2020,hCoV-19/SaintKittsandNevis/73322/2021,hCoV-19/SaintKittsandNevis/72432/2021,hCoV-19/TrinidadandTobago/55453/2021,hCoV-19/TrinidadandTobago/64636/2021,hCoV-19/TrinidadandTobago/64970/2021,hCoV-19/TrinidadandTobago/59708/2021,hCoV-19/TrinidadandTobago/63046/2021,hCoV-19/TrinidadandTobago/61353/2021,hCoV-19/TrinidadandTobago/64378/2021,hCoV-19/AntiguaandBarbuda/52171/2021,hCoV-19/TrinidadandTobago/66722/2021,hCoV-19/TrinidadandTobago/68852/2021,hCoV-19/TrinidadandTobago/68895/2021,hCoV-19/TrinidadandTobago/72364/2021,hCoV-19/TrinidadandTobago/64267/2021,hCoV-19/TrinidadandTobago/65511/2021,hCoV-19/TrinidadandTobago/73977/2021,hCoV-19/TrinidadandTobago/65773/2021,hCoV-19/TrinidadandTobago/66750/2021,hCoV-19/TrinidadandTobago/66305/2021,hCoV-19/TrinidadandTobago/73842/2021,hCoV-19/TrinidadandTobago/73955/2021,hCoV-19/TrinidadandTobago/66088/2021,hCoV-19/TrinidadandTobago/73954/2021,hCoV-19/TrinidadandTobago/67997/2021,hCoV-19/TrinidadandTobago/73807/2021,hCoV-19/TrinidadandTobago/72507/2021,hCoV-19/TrinidadandTobago/72521/2021,hCoV-19/TrinidadandTobago/65148/2021,hCoV-19/TrinidadandTobago/66313/2021,hCoV-19/Barbados/71162/2021,hCoV-19/SaintLucia/59979/2021,hCoV-19/AntiguaandBarbuda/74113/2021,hCoV-19/SaintLucia/74402/2021,hCoV-19/SaintLucia/66451/2021,hCoV-19/SaintLucia/74394/2021,hCoV-19/Grenada/75608/2021
Krista Queen et al	5	unknown	unknown	unknown	hCoV-19/USA/VT-CDC-2-4044523/2020,hCoV-19/USA/ID-CDC-2-3714480/2020,hCoV-19/USA/SC-CDC-2-3859189/2021,hCoV-19/NorthernMarianaIslands/CDC-2-3831110/2020,hCoV-19/USA/DE-CDC-2-3713963/2020
Salman Al-Sabah et al	4	unknown	unknown	unknown	hCoV-19/Kuwait/SKS00116-JAH/2020,hCoV-19/Kuwait/SKS00113-JAH/2020,hCoV-19/Kuwait/JAH3090859/2021,hCoV-19/Kuwait/JAH3101604/2021
Reham Dawood et al	1	unknown	unknown	unknown	hCoV-19/Egypt/NRC2/2020
Juan David Ramírez et al	1	The arrival and spread of SARS-CoV2 in Colombia	unknown	https://www.medrxiv.org/content/10.1101/2020.06.11.20125799v1	hCoV-19/Colombia/CUN-GVI-98087/2020
Buss et al	4	unknown	unknown	unknown	hCoV-19/Canada/AB-ABPHL-16465/2021,hCoV-19/Canada/AB-ABPHL-24080/2021,hCoV-19/Canada/AB-ABPHL-23042/2021,hCoV-19/Canada/AB-ABPHL-18808/2021
Rhonda A. Lizewski et al	2	unknown	unknown	unknown	hCoV-19/USA/SC-MCRDPI_20_3348-T56/2020,hCoV-19/USA/SC-MCRDPI_20_3183-T56/2020
PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	44	unknown	unknown	unknown	hCoV-19/Australia/WA217/2020,hCoV-19/Australia/WA596/2020,hCoV-19/Australia/WA66/2020,hCoV-19/Australia/WA414/2020,hCoV-19/Australia/WA539/2020,hCoV-19/Australia/WA607/2021,hCoV-19/Australia/WA686/2021,hCoV-19/Australia/WA717/2021,hCoV-19/Australia/WA720/2021,hCoV-19/Australia/WA721/2021,hCoV-19/Australia/WA672/2021,hCoV-19/Australia/WA749/2021,hCoV-19/Australia/WA752/2021,hCoV-19/Australia/WA750/2021,hCoV-19/Australia/WA659/2021,hCoV-19/Australia/WA736/2021,hCoV-19/Australia/WA732/2021,hCoV-19/Australia/WA722/2021,hCoV-19/Australia/WA723/2021,hCoV-19/Australia/WA690/2021,hCoV-19/Australia/WA705/2021,hCoV-19/Australia/WA743/2021,hCoV-19/Australia/WA737/2021,hCoV-19/Australia/WA745/2021,hCoV-19/Australia/WA-764/2021,hCoV-19/Australia/NT10004/2021,hCoV-19/Australia/WA733/2021,hCoV-19/Australia/WA734/2021,hCoV-19/Australia/WA740/2021,hCoV-19/Australia/WA731/2021,hCoV-19/Australia/WA742/2021,hCoV-19/Australia/WA187/2020,hCoV-19/Australia/WA714/2021,hCoV-19/Australia/WA697/2021,hCoV-19/Australia/WA713/2021,hCoV-19/Australia/WA196/2020,hCoV-19/Australia/WA727/2021,hCoV-19/Australia/WA428/2020,hCoV-19/Australia/WA365/2020,hCoV-19/Australia/WA624/2021,hCoV-19/Australia/WA724/2021,hCoV-19/Australia/WA681/2021,hCoV-19/Australia/WA674/2021,hCoV-19/Australia/WA632/2021
Dr Padmapriyadarsini.C et al	1	unknown	unknown	unknown	hCoV-19/India/TN-ICMR-NIRT-INSACOG-177/2020
Hatem et al	3	unknown	unknown	unknown	hCoV-19/Egypt/CCHE57357-P-10/2020,hCoV-19/Egypt/CCHE57357_Wave_3_A069/2021,hCoV-19/Egypt/CCHE57357_Wave_3_A074/2021
Issa Abu-Dayyeh et al	10	unknown	unknown	unknown	hCoV-19/Jordan/SR-0335/2020,hCoV-19/Jordan/Biolab017/2021,hCoV-19/Jordan/Biolab0123/2021,hCoV-19/Jordan/Biolab0079/2021,hCoV-19/Jordan/SEARCH-5444/2020,hCoV-19/Jordan/SEARCH-5442/2020,hCoV-19/Jordan/SR-033/2020,hCoV-19/Jordan/SR-046/2020,hCoV-19/Jordan/AM-Biolab042/2021,hCoV-19/Jordan/Biolab0084/2021
Yunia Sribudiani et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JB-TFRIC19-R47609/2020
Alghoribi et al	1	unknown	unknown	unknown	hCoV-19/SaudiArabia/KAIMRC59/2020
Holy Arif Wibowo et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JK-NIHRD-C0050015/2020
Lukas Endler et al	18	unknown	unknown	unknown	hCoV-19/env/Liechtenstein/CeMM3292/2021,hCoV-19/Slovakia/CeMM3359/2020,hCoV-19/Slovakia/CeMM3334/2020,hCoV-19/Austria/CeMM13008/2021,hCoV-19/Austria/CeMM13317/2021,hCoV-19/Austria/CeMM1365/2020,hCoV-19/Austria/CeMM1360/2020,hCoV-19/Austria/CeMM1402/2020,hCoV-19/Austria/CeMM9536/2021,hCoV-19/Austria/CeMM9501/2021,hCoV-19/env/Liechtenstein/CeMM9279/2021,hCoV-19/Austria/CeMM12123/2021,hCoV-19/Austria/CeMM12122/2021,hCoV-19/env/Austria/CeMM8364/2021,hCoV-19/Austria/CeMM8576/2021,hCoV-19/Austria/CeMM8469/2021,hCoV-19/Austria/CeMM9367/2021,hCoV-19/Austria/CeMM7370/2021
Christian Beisel et al	3	unknown	unknown	unknown	hCoV-19/Switzerland/VD-ETHZ-270098/2020,hCoV-19/Switzerland/SG-ETHZ-180030/2020,hCoV-19/Switzerland/BE-ETHZ-260127/2020
Danish Covid-19 Genome Consortium et al	19	unknown	unknown	unknown	hCoV-19/Denmark/DCGC-84539/2020,hCoV-19/Denmark/DCGC-45730/2020,hCoV-19/Denmark/DCGC-149203/2021,hCoV-19/Denmark/DCGC-142712/2021,hCoV-19/Denmark/DCGC-146196/2021,hCoV-19/Denmark/DCGC-148178/2021,hCoV-19/Denmark/DCGC-128687/2021,hCoV-19/Denmark/DCGC-140246/2021,hCoV-19/Denmark/DCGC-81691/2021,hCoV-19/Denmark/DCGC-91287/2021,hCoV-19/Denmark/DCGC-121278/2021,hCoV-19/Denmark/DCGC-121782/2021,hCoV-19/Denmark/DCGC-108369/2021,hCoV-19/Denmark/DCGC-104264/2021,hCoV-19/Denmark/DCGC-105519/2021,hCoV-19/Denmark/DCGC-89003/2021,hCoV-19/Denmark/DCGC-117054/2021,hCoV-19/Denmark/DCGC-55944/2021,hCoV-19/Denmark/DCGC-72285/2021
Gilman Kit-Hang Siu et al	10	unknown	unknown	unknown	hCoV-19/HongKong/HKPU-05178/2020,hCoV-19/HongKong/HKPU-05365/2020,hCoV-19/HongKong/HKPU-06193/2020,hCoV-19/HongKong/HKPU-05544/2020,hCoV-19/HongKong/HKPU-10865/2021,hCoV-19/HongKong/HKPU-11730/2021,hCoV-19/HongKong/HKPU-11942/2021,hCoV-19/HongKong/HKPU-04954/2020,hCoV-19/HongKong/HKPU-11464/2021,hCoV-19/HongKong/HKPU-11837/2021
Caroline Öhrman et al	1	unknown	unknown	unknown	hCoV-19/Sweden/RVFOI21-01004/2020
Nadia Rodrigues et al	3	unknown	unknown	unknown	hCoV-19/CaboVerde/PortoNovo_11533/2020,hCoV-19/CaboVerde/PortoNovo_14021/2020,hCoV-19/CaboVerde/Mindelo_00071/2021
Antonin Bal et al	5	unknown	unknown	unknown	hCoV-19/Tahiti/HCL021013317501/2020,hCoV-19/Tahiti/HCL021013314001/2021,hCoV-19/France/ARA-HCL021134638201/2021,hCoV-19/France/ARA-HCL021107229101/2021,hCoV-19/France/ARA-HCL990000337827/2021
G Zahra et al	12	unknown	unknown	unknown	hCoV-19/Malta/MDxMDH377/2021,hCoV-19/Malta/MDxMDH489/2021,hCoV-19/Malta/MDxMDH543/2021,hCoV-19/Malta/MDxMDH545/2021,hCoV-19/Malta/MDxMDH539/2021,hCoV-19/Malta/MDxMDH459/2021,hCoV-19/Malta/MDxMDH381/2021,hCoV-19/Malta/MDxMDH436/2021,hCoV-19/Malta/MDxMDH496/2021,hCoV-19/Malta/MDxMDH403/2021,hCoV-19/Malta/MDxMDH486/2021,hCoV-19/Malta/MDxMDH450/2021
Sandrine Moreira et al	7	unknown	unknown	unknown	hCoV-19/Canada/QC-1nDJXP-8143120715/2021,hCoV-19/Canada/QC-L00258484/2020,hCoV-19/Canada/QC-1nIUH-5524359940/2021,hCoV-19/Canada/QC-1nIOU-A5083128/2021,hCoV-19/Canada/QC-1nDJXP-8143651978/2021,hCoV-19/Canada/QC-L00358194/2021,hCoV-19/Canada/QC-1nIEOQ-1056483284/2021
Ramuth M et al	7	unknown	unknown	unknown	hCoV-19/Mauritius/P-001278/2021,hCoV-19/Mauritius/104672/2021,hCoV-19/Mauritius/104634/2021,hCoV-19/Mauritius/125759/2021,hCoV-19/Mauritius/104633/2021,hCoV-19/Mauritius/104632/2021,hCoV-19/Mauritius/154798/2021
Massab Umair et al	8	unknown	unknown	unknown	hCoV-19/Pakistan/NIH-60/2020,hCoV-19/Pakistan/NIH-63/2020,hCoV-19/Pakistan/NIH-B12-S16/2021,hCoV-19/Pakistan/NIH-Sam7/2021,hCoV-19/Pakistan/NIH-B12-S8/2021,hCoV-19/Pakistan/NIH-B12-S3/2021,hCoV-19/Pakistan/NIH-62/2020,hCoV-19/Pakistan/NIH-B9-S7/2021
Yang Song2* et al	1	unknown	unknown	unknown	hCoV-19/Beijing/IVDC-07/2020
Palou et al	1	unknown	unknown	unknown	hCoV-19/PapuaNewGuinea/PNG091/2021
Masrukhin et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/KR-BTM-LIPI-NIHRD-0085/2021
Chan Chia Jui et al	4	unknown	unknown	unknown	hCoV-19/Malaysia/UNIMAS-CRC0439/2021,hCoV-19/Malaysia/UNIMAS-B844/2021,hCoV-19/Malaysia/UNIMAS-17183/2021,hCoV-19/Malaysia/UNIMAS-B847/2021
Suppiah J et al	6	unknown	unknown	unknown	hCoV-19/Malaysia/IMR_125172/2021,hCoV-19/Malaysia/IMR_WC106795/2021,hCoV-19/Malaysia/IMR_WC451808/2021,hCoV-19/Malaysia/IMR_110267/2021,hCoV-19/Malaysia/IMR_CV00367/2021,hCoV-19/Malaysia/IMR_015711/2021
Arie Ardiansyah Nugraha et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JT-NIHRD-WGS04364/2021
Azzania Fibriani et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/JB-WJHL-ITB-B30114/2021
Son Nguyen et al.	1	unknown	unknown	unknown	hCoV-19/PapuaNewGuinea/QLD-PNG-76/2021
Markus Antwerpen et al	2	unknown	unknown	unknown	hCoV-19/Afghanistan/IMB07964/2020,hCoV-19/Afghanistan/IMB07966/2020
Subangkit et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/KB-NIHRD-PME9639/2020
Gunadi et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/YO-UGM-10012/2020
Nugraha et al	1	unknown	unknown	unknown	hCoV-19/Indonesia/LA-NIHRD-PME1024/2020
Al Safar et al	4	unknown	unknown	unknown	hCoV-19/UnitedArabEmirates/3729/2020,hCoV-19/UnitedArabEmirates/3326/2020,hCoV-19/UnitedArabEmirates/3353/2020,hCoV-19/UnitedArabEmirates/3586/2020
Payel Mukherjee et al	2	unknown	unknown	unknown	hCoV-19/India/TG-CCMB-BB037/2020,hCoV-19/India/MH-NEERI-CIA2626/2021
Pradip Gyanwali et al	2	unknown	unknown	unknown	hCoV-19/Nepal/617/2020,hCoV-19/Nepal/2097/2020
Manoj K Singh et al	1	unknown	unknown	unknown	hCoV-19/India/DL-NCDC-709351/2020
Zigui Chen et al	1	unknown	unknown	unknown	hCoV-19/HongKong/CUHK-NC9572/2021
Kathy H.L. Po et al	2	unknown	unknown	unknown	hCoV-19/HongKong/VM21015122/2021,hCoV-19/HongKong/VM21018333/2021
T.C. Kwong et al	1	unknown	unknown	unknown	hCoV-19/HongKong/VM21015332/2021
Vichan Pawun et al	1	unknown	unknown	unknown	hCoV-19/Thailand/CU-SI2110608-NPS/2020
Radko Avi et al	5	unknown	unknown	unknown	hCoV-19/Estonia/Cov0616/2020,hCoV-19/Estonia/Cov0506/2020,hCoV-19/Estonia/Cov1369/2020,hCoV-19/Estonia/Cov1519/2020,hCoV-19/Estonia/Cov9804/2021
Kathrine Stene-Johansen et al	13	unknown	unknown	unknown	hCoV-19/Norway/2958/2021,hCoV-19/Norway/2441/2020,hCoV-19/Norway/6848/2020,hCoV-19/Norway/15958/2021,hCoV-19/Norway/4815/2021,hCoV-19/Norway/10793/2021,hCoV-19/Norway/13630/2021,hCoV-19/Norway/12936/2021,hCoV-19/Norway/10799/2021,hCoV-19/Norway/15170/2021,hCoV-19/Norway/15349/2021,hCoV-19/Norway/12756/2021,hCoV-19/Norway/10503/2021
Pilailuk Okada et al	3	unknown	unknown	unknown	hCoV-19/Thailand/ChiangRai_NS0001/2020,hCoV-19/Thailand/Chonburi-SQ-SM0001/2020,hCoV-19/Thailand/ChiangRai_SEQ9947/2021
Chan et al	1	unknown	unknown	unknown	hCoV-19/Malaysia/USM_Monash_JKNK_C9776/2020
